cve_id,cvss_score,confidentialityImpact,integrityImpact,availabilityImpact,epss,percentile,CISA KEV,Known Ransomware Campaign Use
CVE-2020-0601,8.1,HIGH,HIGH,NONE,0.96836,0.99726,yes,Unknown
CVE-2020-0636,7.8,HIGH,HIGH,HIGH,0.00043,0.09867,no,
CVE-2020-0671,7.8,HIGH,HIGH,HIGH,0.00043,0.09867,no,
CVE-2020-0688,8.8,HIGH,HIGH,HIGH,0.97104,0.99815,yes,Known
CVE-2020-0758,7.5,HIGH,HIGH,HIGH,0.00123,0.47262,no,
CVE-2020-0884,3.7,LOW,NONE,NONE,0.00166,0.53779,no,
CVE-2020-0898,7.8,HIGH,HIGH,HIGH,0.00043,0.09867,no,
CVE-2020-0938,7.8,HIGH,HIGH,HIGH,0.95411,0.99412,yes,Unknown
CVE-2020-0955,5.5,HIGH,NONE,NONE,0.00043,0.09867,no,
CVE-2020-0981,8.8,HIGH,HIGH,HIGH,0.00046,0.17594,no,
CVE-2020-10189,9.8,HIGH,HIGH,HIGH,0.97218,0.9986,yes,Unknown
CVE-2020-1020,8.8,HIGH,HIGH,HIGH,0.9494,0.9933,yes,Unknown
CVE-2020-1025,9.8,HIGH,HIGH,HIGH,0.00449,0.75395,no,
CVE-2020-10257,9.8,HIGH,HIGH,HIGH,0.10111,0.95015,no,
CVE-2020-1027,7.8,HIGH,HIGH,HIGH,0.00072,0.31978,yes,Unknown
CVE-2020-10602,5.3,NONE,NONE,HIGH,0.00128,0.48254,no,
CVE-2020-10603,8.8,HIGH,HIGH,HIGH,0.00272,0.68354,no,
CVE-2020-1068,7.8,HIGH,HIGH,HIGH,0.00043,0.09867,no,
CVE-2020-10751,6.1,HIGH,LOW,NONE,0.0005,0.20158,no,
CVE-2020-10817,8.8,HIGH,HIGH,HIGH,0.00097,0.41035,no,
CVE-2020-11010,8.8,HIGH,HIGH,HIGH,0.00104,0.43193,no,
CVE-2020-11013,5.0,LOW,NONE,NONE,0.00053,0.22047,no,
CVE-2020-11019,6.5,NONE,NONE,HIGH,0.00066,0.29622,no,
CVE-2020-11021,7.5,HIGH,NONE,NONE,0.00156,0.52517,no,
CVE-2020-11023,6.1,LOW,LOW,NONE,0.02302,0.89865,no,
CVE-2020-11030,5.4,LOW,LOW,NONE,0.00077,0.33645,no,
CVE-2020-11035,9.3,HIGH,LOW,NONE,0.00264,0.66557,no,
CVE-2020-11036,5.4,LOW,LOW,NONE,0.00067,0.30039,no,
CVE-2020-11039,6.8,LOW,HIGH,LOW,0.00176,0.55251,no,
CVE-2020-11044,2.2,NONE,NONE,LOW,0.00285,0.69093,no,
CVE-2020-11045,3.3,LOW,NONE,LOW,0.00377,0.73129,no,
CVE-2020-11050,8.1,HIGH,HIGH,HIGH,0.0015,0.51746,no,
CVE-2020-11054,3.5,LOW,NONE,NONE,0.00088,0.38358,no,
CVE-2020-11055,5.4,LOW,LOW,NONE,0.00079,0.3485,no,
CVE-2020-11059,7.5,HIGH,NONE,NONE,0.00168,0.54246,no,
CVE-2020-11068,8.8,HIGH,HIGH,HIGH,0.00148,0.51404,no,
CVE-2020-11073,7.8,HIGH,HIGH,HIGH,0.00115,0.45617,no,
CVE-2020-11078,6.8,NONE,HIGH,NONE,0.00474,0.76008,no,
CVE-2020-11082,6.1,LOW,LOW,NONE,0.00888,0.82834,no,
CVE-2020-11083,4.8,LOW,LOW,NONE,0.0039,0.73608,no,
CVE-2020-11087,5.4,LOW,NONE,LOW,0.0028,0.68807,no,
CVE-2020-1109,7.8,HIGH,HIGH,HIGH,0.00043,0.09867,no,
CVE-2020-11090,7.5,NONE,NONE,HIGH,0.00171,0.54573,no,
CVE-2020-1111,7.8,HIGH,HIGH,HIGH,0.00043,0.09867,no,
CVE-2020-1141,5.5,HIGH,NONE,NONE,0.00043,0.09867,no,
CVE-2020-11608,4.3,NONE,NONE,HIGH,0.00046,0.17615,no,
CVE-2020-1163,7.8,HIGH,HIGH,HIGH,0.00043,0.09867,no,
CVE-2020-11651,9.8,HIGH,HIGH,HIGH,0.97477,0.99975,yes,Unknown
CVE-2020-11652,6.5,HIGH,NONE,NONE,0.97254,0.99872,yes,Unknown
CVE-2020-11668,7.1,NONE,HIGH,HIGH,0.00045,0.14666,no,
CVE-2020-11738,7.5,HIGH,NONE,NONE,0.97461,0.99965,yes,Unknown
CVE-2020-11884,7.0,HIGH,HIGH,HIGH,0.00045,0.14666,no,
CVE-2020-11896,10.0,HIGH,HIGH,HIGH,0.05387,0.93223,no,
CVE-2020-11897,10.0,HIGH,HIGH,HIGH,0.01407,0.86645,no,
CVE-2020-1190,7.8,HIGH,HIGH,HIGH,0.00043,0.09867,no,
CVE-2020-11901,9.0,HIGH,HIGH,HIGH,0.02826,0.90829,no,
CVE-2020-11957,7.5,HIGH,HIGH,HIGH,0.00054,0.22311,no,
CVE-2020-12000,7.5,HIGH,NONE,NONE,0.05095,0.93035,no,
CVE-2020-12008,7.5,HIGH,NONE,NONE,0.00162,0.53359,no,
CVE-2020-12014,7.5,HIGH,NONE,NONE,0.01,0.83854,no,
CVE-2020-12024,6.1,HIGH,HIGH,NONE,0.00067,0.30155,no,
CVE-2020-12029,7.8,HIGH,HIGH,HIGH,0.04499,0.92589,no,
CVE-2020-12038,5.5,NONE,NONE,HIGH,0.0005,0.20386,no,
CVE-2020-1206,7.5,HIGH,NONE,NONE,0.79044,0.98312,no,
CVE-2020-12464,6.7,HIGH,HIGH,HIGH,0.00105,0.43646,no,
CVE-2020-12652,4.1,NONE,NONE,HIGH,0.00042,0.05034,no,
CVE-2020-12653,7.8,HIGH,HIGH,HIGH,0.00042,0.05034,no,
CVE-2020-12655,5.5,NONE,NONE,HIGH,0.00046,0.17615,no,
CVE-2020-12659,6.7,HIGH,HIGH,HIGH,0.00072,0.31964,no,
CVE-2020-12769,5.5,NONE,NONE,HIGH,0.00042,0.05087,no,
CVE-2020-12888,5.3,NONE,NONE,HIGH,0.00047,0.17767,no,
CVE-2020-13125,6.5,LOW,LOW,NONE,0.00081,0.35303,no,
CVE-2020-13126,9.9,HIGH,HIGH,HIGH,0.0024,0.62505,no,
CVE-2020-1347,7.8,HIGH,HIGH,HIGH,0.00043,0.09867,no,
CVE-2020-1350,10.0,HIGH,HIGH,HIGH,0.94441,0.99255,yes,Unknown
CVE-2020-14059,6.5,NONE,NONE,HIGH,0.00278,0.68698,no,
CVE-2020-1425,7.8,HIGH,HIGH,HIGH,0.00882,0.82757,no,
CVE-2020-14508,9.8,HIGH,HIGH,HIGH,0.0031,0.70357,no,
CVE-2020-14510,9.8,HIGH,HIGH,HIGH,0.00392,0.7365,no,
CVE-2020-1456,5.4,LOW,LOW,NONE,0.00098,0.41282,no,
CVE-2020-1471,7.3,HIGH,LOW,NONE,0.00043,0.09867,no,
CVE-2020-1495,8.8,HIGH,HIGH,HIGH,0.04069,0.92274,no,
CVE-2020-15093,8.6,NONE,HIGH,NONE,0.00124,0.47571,no,
CVE-2020-15094,8.8,HIGH,HIGH,HIGH,0.00712,0.80752,no,
CVE-2020-15095,4.4,HIGH,NONE,NONE,0.00047,0.17824,no,
CVE-2020-15096,6.8,NONE,HIGH,NONE,0.00054,0.23396,no,
CVE-2020-15100,3.3,NONE,NONE,LOW,0.00044,0.13063,no,
CVE-2020-15105,5.4,HIGH,LOW,NONE,0.001,0.41776,no,
CVE-2020-15109,5.3,NONE,LOW,NONE,0.0009,0.3903,no,
CVE-2020-15118,5.4,LOW,LOW,NONE,0.00108,0.44278,no,
CVE-2020-15132,5.3,LOW,NONE,NONE,0.00126,0.47841,no,
CVE-2020-15137,5.9,HIGH,NONE,HIGH,0.00047,0.17839,no,
CVE-2020-15140,9.6,HIGH,HIGH,NONE,0.00063,0.27625,no,
CVE-2020-15143,8.8,HIGH,HIGH,HIGH,0.0031,0.70381,no,
CVE-2020-15147,8.5,HIGH,HIGH,HIGH,0.0113,0.84881,no,
CVE-2020-15162,5.4,LOW,LOW,NONE,0.00062,0.2704,no,
CVE-2020-15170,7.0,LOW,HIGH,LOW,0.00137,0.49744,no,
